,Nom_com
946,Presles-et-Thierny
949,Proisy
950,Proix
951,Prouvais
952,Proviseux-et-Plesnoy
953,Puiseux-en-Retz
954,Puisieux-et-Clanlieu
955,Quierzy
959,Ramicourt
960,Regny
961,Remaucourt
962,Remies
963,Remigny
964,Renansart
965,Renneval
966,Résigny
967,Ressons-le-Long
968,Retheuil
969,Reuilly-Sauvigny
971,Ribemont
972,Rocourt-Saint-Martin
973,Rocquigny
975,Rogny
976,Romeny-sur-Marne
978,Ronchères
979,Roucy
980,Rougeries
981,Roupy
982,Rouvroy
984,Royaucourt-et-Chailvet
985,Rozet-Saint-Albin
986,Rozières-sur-Crise
987,Rozoy-Bellevalle
988,Grand-Rozoy
989,Rozoy-sur-Serre
990,Saconin-et-Breuil
991,Sains-Richaumont
992,Saint-Algis
993,Saint-Aubin
994,Saint-Bandry
995,Saint-Christophe-à-Berry
997,Sainte-Croix
998,Saint-Erme-Outre-et-Ramecourt
999,Saint-Eugène
1001,Saint-Gengoulph
1002,Saint-Gobain
1003,Saint-Gobert
1004,Saint-Mard
1005,Saint-Martin-Rivière
1006,Saint-Michel
1007,Saint-Nicolas-aux-Bois
1008,Saint-Paul-aux-Bois
1009,Saint-Pierre-Aigle
1013,Saint-Quentin
1014,Saint-Rémy-Blanzy
1015,Saint-Simon
1018,Samoussy
1020,Saponay
1021,Saulchery
1022,Savy
1023,Seboncourt
1024,Selens
1025,La Selve
1026,Septmonts
1027,Septvaux
1028,Sequehart
1029,Serain
1030,Seraucourt-le-Grand
1031,Serches
1032,Sergy
1033,Seringes-et-Nesles
1034,Sermoise
1036,Servais
1037,Séry-lès-Mézières
1038,Silly-la-Poterie
1039,Sinceny
1040,Sissonne
1041,Sissy
1042,Soissons
1045,Sommeron
1046,Sommette-Eaucourt
1047,Sons-et-Ronchères
1048,Sorbais
1050,Soupir
1051,Le Sourd
1053,Taillefontaine
1055,Tartiers
1056,Tavaux-et-Pontséricourt
1057,Terny-Sorny
1058,Thenailles
1059,Thenelles
1060,Thiernu
1061,Le Thuel
1063,Toulis-et-Attencourt
1064,Travecy
1066,Trélou-sur-Marne
1067,Troësnes
1068,Trosly-Loire
1069,Trucy
1070,Tugny-et-Pont
1071,Tupigny
1072,Ugny-le-Gay
1073,Urcel
1074,Urvillers
1075,Vailly-sur-Aisne
1076,La Vallée-au-Blé
1077,La Vallée-Mulâtre
1078,Variscourt
1079,Vassens
1080,Vasseny
1082,Vaucelles-et-Beffecourt
1083,Vaudesson
1084,Vauxrezis
1085,Vauxaillon
1086,Vaux-Andigny
1087,Vauxbuin
1088,Vaux-en-Vermandois
1090,Vendelles
1091,Vendeuil
1092,Vendhuile
1093,Vendières
1094,Vendresse-Beaulne
1095,Vénérolles
1096,Venizel
1097,Verdilly
1098,Le Verguier
1099,Grand-Verly
1100,Petit-Verly
1101,Vermand
1102,Verneuil-sous-Coucy
1103,Verneuil-sur-Serre
1104,Versigny
1105,Vervins
1106,Vesles-et-Caumont
1107,Veslud
