SIRSé; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune et arrondissement; ; ; ; ; ; ; ; ; 
Code;Libellé;Population des moins de 18 ans 2016;Nombre de chômeurs chez les 15-64 ans (RP) 2016;Nombre de chômeurs chez les 15-24 ans (RP) 2016;Nombre de résidences principales en HLM 2016;Revenu fiscal médian 2016;Population des 65 ans ou plus 2016;Taux de natalité 2016;Population municipale 2016
01238;Massieux;647;70;16;60;26302;385;11.1;2519
01239;Massignieu-de-Rives;131;18;5;0;22940;139;9.8;613
01240;Matafelon-Granges;159;36;6;6;21718;98;4.7;645
01241;Meillonnas;270;52;14;33;23667;252;10.5;1332
01242;Mérignat;35;14;2;4;17568;18;7.9;126
01243;Messimy-sur-Saône;305;42;11;0;24940;175;14;1210
01244;Meximieux;1924;478;122;680;22210;1202;12.1;7669
01245;Bohas-Meyriat-Rignat;228;31;7;5;22906;171;17.9;895
01246;Mézériat;521;113;30;129;21262;407;15.9;2134
01247;Mijoux;77;14;0;10;27426;46;11.8;340
01248;Mionnay;493;73;25;90;27206;251;9.4;2132
01249;Miribel;2418;480;109;653;24332;1526;13;9742
01250;Misérieux;468;69;20;41;25404;254;10.3;1938
01252;Mogneneins;199;24;3;0;23246;119;7.8;774
01254;Montagnat;477;63;12;41;25890;365;12.2;1960
01255;Montagnieu;164;34;7;8;20292;107;9.9;609
01257;Montanges;67;12;3;4;24488;52;11.7;341
01258;Montceaux;300;57;12;20;24078;146;9.3;1182
01259;Montcet;189;26;12;17;22516;78;13.3;675
01260;Le Montellier;78;12;2;0;25610;47;6.8;293
01261;Monthieux;152;15;3;17;26098;95;10.8;648
01262;Montluel;1702;467;111;622;20962;1079;12.3;7005
01263;Montmerle-sur-Saône;948;136;20;63;23643;735;9.7;3811
01264;Montracol;290;28;6;39;21580;152;16.2;1052
01265;Montréal-la-Cluse;839;229;46;475;18672;554;11.4;3409
01266;Montrevel-en-Bresse;461;104;25;186;20586;724;6.5;2463
01267;Nurieux-Volognat;261;45;9;46;21640;174;3.9;1030
01268;Murs-et-Gélignieux;60;11;2;5;21560;52;3.9;255
01269;Nantua;845;229;51;373;16078;701;12.1;3482
01272;Neuville-les-Dames;340;49;11;58;20614;330;13.3;1505
01273;Neuville-sur-Ain;441;88;15;38;20274;267;13.2;1741
01274;Les Neyrolles;171;40;6;42;18206;98;9.4;636
01275;Neyron;585;93;14;105;28266;437;11.2;2507
01276;Niévroz;410;55;14;1;24932;190;14.6;1577
01277;Nivollet-Montgriffon;25;6;1;0;21420;20;8.5;118
01279;Oncieu;17;3;0;0;N/A;26;0;94
01280;Ordonnaz;33;5;0;0;20268;35;0;146
01281;Ornex;1221;257;32;287;33736;510;9.3;4400
01282;Outriaz;61;4;2;0;22522;37;3.8;261
01283;Oyonnax;5820;1999;430;4041;15712;3918;11.5;22559
01284;Ozan;174;32;13;10;19754;94;11.9;674
01285;Parcieux;292;38;9;6;28130;184;10.9;1188
01286;Parves et Nattages;210;42;9;0;24436;171;6.4;937
01288;Péron;701;112;16;42;38828;227;7.7;2584
01289;Péronnas;1274;328;88;479;22638;1602;8.6;6287
01290;Pérouges;244;36;8;7;26088;251;10.8;1205
01291;Perrex;183;26;3;8;21284;152;9.7;824
01293;Peyriat;42;4;1;0;23734;26;12.2;164
01294;Peyrieu;193;33;4;20;21128;160;11.6;862
01295;Peyzieux-sur-Saône;210;38;10;1;22658;43;15.1;663
01296;Pirajoux;101;14;5;5;20797;70;7.7;389
01297;Pizay;191;26;8;3;25166;101;17.6;796
01298;Plagne;23;8;2;0;28712;27;32.5;123
01299;Le Plantay;133;19;2;9;22654;71;12.7;553
01301;Polliat;581;89;21;79;23322;508;12.4;2504
01302;Pollieu;29;4;0;0;24796;37;12.4;161
01303;Poncin;425;100;24;92;20282;350;16.5;1696
01304;Pont-d'Ain;744;175;45;82;20606;561;8.9;2914
01305;Pont-de-Vaux;424;132;25;165;18362;679;8.7;2290
01306;Pont-de-Veyle;306;108;38;111;18420;421;6.2;1618
01307;Port;182;52;7;99;20500;150;11.7;855
01308;Pougny;208;43;12;39;35782;110;4.9;815
01309;Pouillat;20;6;2;0;N/A;19;11.1;90
01310;Prémeyzel;37;14;1;0;19736;34;4;247
01311;Prémillieu;8;2;1;0;N/A;9;0;46
01313;Prévessin-Moëns;2328;419;52;473;39646;774;9.4;7991
01314;Priay;450;75;10;35;22556;260;12.9;1707
01317;Ramasse;87;12;2;0;22370;48;15.6;321
01318;Rancé;208;18;5;0;25890;67;8.3;727
01319;Relevant;111;17;4;4;22738;79;10.8;463
01320;Replonges;915;156;33;55;22688;698;9.7;3702
01321;Revonnas;251;31;5;21;24744;157;8.7;921
01322;Reyrieux;1165;138;33;131;26806;870;9;4670
01323;Reyssouze;239;41;11;9;20706;198;9.2;975
01325;Rignieux-le-Franc;238;36;8;22;24752;153;12.3;976
01328;Romans;126;16;1;16;21856;143;8.4;594
01329;Rossillon;17;16;3;0;19178;45;0;153
01330;Ruffieu;33;9;1;2;20148;43;5.4;184
01331;Saint-Alban;40;3;2;0;19930;38;22.3;179
01332;Saint-André-de-Bâgé;177;29;11;27;22546;117;2.7;742
01333;Saint-André-de-Corcy;750;111;22;202;24798;620;10.8;3241
01334;Saint-André-d'Huiriat;163;23;3;5;22462;68;19.9;602
01335;Saint-André-le-Bouchoux;113;10;2;0;21710;47;15.6;384
01336;Saint-André-sur-Vieux-Jonc;292;37;9;52;21238;201;8.9;1126
01337;Saint-Bénigne;305;54;12;20;21508;251;8;1254
01338;Groslée-Saint-Benoit;307;52;10;15;20752;231;15.1;1193
01339;Saint-Bernard;306;23;5;20;29338;354;7.7;1434
01342;Sainte-Croix;157;23;10;4;26224;60;8.8;566
01343;Saint-Cyr-sur-Menthon;478;59;10;57;21014;266;15.9;1761
01344;Saint-Denis-lès-Bourg;1134;176;49;308;23658;1331;9.5;5667
01345;Saint-Denis-en-Bugey;533;114;31;86;21408;394;9.2;2293
01346;Saint-Didier-d'Aussiat;238;25;6;6;20326;149;5.7;879
01347;Saint-Didier-de-Formans;486;73;21;17;26126;297;11.3;1944
01348;Saint-Didier-sur-Chalaronne;702;110;28;134;21344;545;7.4;2832
01349;Saint-Éloi;93;9;3;0;26748;84;8.8;453
01350;Saint-Étienne-du-Bois;555;84;16;128;22790;554;9.2;2490
01351;Saint-Étienne-sur-Chalaronne;445;57;17;10;20656;203;11;1546
01352;Saint-Étienne-sur-Reyssouze;149;26;6;4;19400;112;10.6;568
01353;Sainte-Euphémie;454;54;14;28;25618;186;8.4;1657
01354;Saint-Genis-Pouilly;3087;668;89;1099;27822;1347;10.8;11892
01355;Saint-Genis-sur-Menthon;116;26;4;19;21442;64;16.9;472
01356;Saint-Georges-sur-Renon;63;10;1;2;22656;30;9.1;219
01357;Saint-Germain-de-Joux;124;39;7;34;18804;77;21.7;507
01358;Saint-Germain-les-Paroisses;99;28;3;2;21338;94;9.2;434
01359;Saint-Germain-sur-Renon;51;6;1;0;24372;37;4.3;235
01360;Saint-Jean-de-Gonville;435;68;9;25;39452;190;9.9;1720
01361;Saint-Jean-de-Niost;349;39;11;0;26950;208;7.7;1427
01362;Saint-Jean-de-Thurigneux;220;23;5;3;26412;95;14.2;773
01363;Saint-Jean-le-Vieux;390;75;18;36;21438;308;11.2;1699
01364;Saint-Jean-sur-Reyssouze;160;35;5;23;21119;172;13.6;737
01365;Saint-Jean-sur-Veyle;286;38;8;22;21708;196;6.2;1122
01366;Sainte-Julie;300;39;5;5;23232;102;17;999
01367;Saint-Julien-sur-Reyssouze;184;49;12;10;19502;146;4.3;698
01368;Saint-Julien-sur-Veyle;230;36;1;14;21686;118;8.8;798
01369;Saint-Just;199;27;6;22;24964;174;13.1;917
01370;Saint-Laurent-sur-Saône;285;128;22;279;17922;364;7.4;1754
01371;Saint-Marcel;336;55;16;58;22482;112;8.4;1303
01372;Saint-Martin-de-Bavel;118;16;2;0;21062;77;11.4;438
01373;Saint-Martin-du-Frêne;230;55;18;27;21598;186;9.4;1063
01374;Saint-Martin-du-Mont;428;60;13;15;23214;332;13.8;1807
01375;Saint-Martin-le-Châtel;195;29;5;14;21554;117;12.7;790
01376;Saint-Maurice-de-Beynost;951;238;54;341;20898;729;11.6;3965
